,,,,,
nomFR,nomEN,nombreUnite,Date,Farm,Map
Relique de Démon,Demonic Relic,1,25/12/2023,"Tu peux les avoir en tuant des Lames de Corruption, des Faux du Chaos, des Ombres de Terreur, des Hérauts du Cauchemar et des Hérauts du Crépuscule, des Javelot du Tourment dans le Royaume du Tourment",https://wiki.guildwars.com/images/d/df/Nicholas_the_Traveler_The_Ruptured_Heart_map.jpg
Reste d'Azur,Azure Remains,2,11/07/2022,Tu peux les avoir en tuant les Ombres d'Azur dans le Palais de Witman,https://wiki.guildwars.com/images/2/2f/Nicholas_the_Traveler_Dreadnought%27s_Drift_map.jpg
Reste d'ombre,Shadowy Remnants,2,21/10/2024,"Tu peux les avoir en répétant la quête ""Les gravures"" donnée par Ithimar l'archiviste dans la Kryte du Nord",https://wiki.guildwars.com/images/d/d5/Nicholas_the_Traveler_The_Black_Curtain_map.jpg
Reste de fantôme,Phantom Residue,1,17/04/2023,"On peut en trouver en tuant des mobs dans l'UW,  mais aussi dans le tombeau des Rois Primitifs",https://wiki.guildwars.com/images/thumb/f/fb/Nicholas_the_Traveler_Lornar%27s_Pass_map.jpg/223px-Nicholas_the_Traveler_Lornar%27s_Pass_map.jpg
Rouleau de lin,Bolt Of Linen,3,23/05/2022,On peut en acheter au marchand de matériaux rares,https://wiki.guildwars.com/images/9/9b/Nicholas_the_Traveler_Traveler%27s_Vale_map.jpg
Rouleau de parchemin,Roll of Parchment,5,24/20/2022,On peut en acheter au marchand de matériaux rares,https://wiki.guildwars.com/images/d/d5/Nicholas_the_Traveler_Zen_Daijun_%28explorable_area%29_map.jpg
Salade de Pahnai,Pahnai Salad,1,24/06/2024,Tu peux en avoir en échangeant 2 Pétales d'Iboga au Chef Volon à l'Aube du Champion,https://wiki.guildwars.com/images/3/38/Nicholas_the_Traveler_Plains_of_Jarin_map.jpg
Scalp de Caromi emplumé,Feathered Caromi Scalp,3,23/01/2023,"Tu peux en avoir en tuant des Caromi dans la Kryte du Nord, dans le Plateau Nebo et dans la Côte de la Raie",https://wiki.guildwars.com/images/0/06/Nicholas_the_Traveler_North_Kryta_Province_map.jpg
Scalp emplumé,Feathered Scalp,3,07/10/2024,Tu peux les avoir en tuant les Sensali dans la Vallée de Sunqua,https://wiki.guildwars.com/images/9/91/Nicholas_the_Traveler_Sunqua_Vale_map.jpg
Scalp emplumé d'Avicara,Feathered Avicara Scalp,3,13/06/2022,Tu peux en avoir en tuant les Avicara dans les Cimefroides du sud,https://wiki.guildwars.com/images/a/aa/Nicholas_the_Traveler_Mineral_Springs_map.jpg
Sceau des Oubliés,Forgotten Seal,2,15/01/2024,"Tu peux en avoir en tuant les facettes, et en tuant les créatures enchantées et oubliées dans les Moraines du Vautour en sortant des Dunes du Deséspoir",https://wiki.guildwars.com/images/e/e2/Nicholas_the_Traveler_Vulture_Drifts_map.jpg
Sculpture sur pierre,Stone Carving,1,16/01/2023,"Tu peux les avoir en tuant les Âmes de Pierre, les Écraseurs de Pierre, les Pluies de Pierre et les Moissonneurs de Pierre dans la zone explorable de Pierre Arborea, mais aussi dans la coop Pierre Arborea et le Chemin de Morostav",https://wiki.guildwars.com/images/c/cf/Nicholas_the_Traveler_Arborstone_%28explorable_area%29_map.jpg
Serre de Cobalt,Cobalt Talon,2,19/02/2024,Tu peux les avoir en tuant les Cobalt dans les Mines de Vehjin,https://wiki.guildwars.com/images/a/aa/Nicholas_the_Traveler_Vehjin_Mines_map.jpg
Serre tranchante d'Oni,Keen Oni Talon,1,10/07/2023,Tu peux les avoir en tuant des Onis dans le Cratère de Rhéa,https://wiki.guildwars.com/images/b/b8/Nicholas_the_Traveler_Silent_Surf_map.jpg
Shilling de cuivre,Copper Shilling,3,09/05/2022,"Tu peux en avoir en tuant des Corsaires dans les Falaises de Dohjok, mais aussi dans la coop du Village de Chahbek",https://wiki.guildwars.com/images/9/90/Nicholas_the_Traveler_Cliffs_of_Dohjok_map.jpg
Spore sensible,Sentient Spore,2,25/04/2022,"Tu peux les avoir en tuant les Jaracanda graine d'orage, ainsi que les Iboga dans les Territoires de Chokhin ou dans les Jardins de Seborhin",https://wiki.guildwars.com/images/c/ca/Nicholas_the_Traveler_Sunward_Marches_map.jpg
Tas de poussière élémentaire,Pile of Elemental Dust,2,24/07/2023,Tu peux les avoir en tuant des Volutes Tournoyantes ainsi que des Élémentaires gelés dans le premier niveau du Sepuclre de Dragrimmar,https://wiki.guildwars.com/images/thumb/5/5b/Nicholas_the_Traveler_Drakkar_Lake_map.jpg/375px-Nicholas_the_Traveler_Drakkar_Lake_map.jpg
Toile d'araignée de Maguuma,Maguuma Spider Web,1,26/02/2024,Tu peux en avoir en tuant des Araignées de Maguuma dans la coop de la Clairière de l'Aurore ou dans les Saugeterres,https://wiki.guildwars.com/images/0/05/Nicholas_the_Traveler_Reed_Bog_map.jpg
Toison de Maguuma,Maguuma Mane,2,30/10/2023,"Tu peux en avoir en tuant les Maguuma (Protecteur Maguuma, Guerrier Maguuma, Chasseur Maguuma), dans le Bois Argent ou dans l'Echine d'Ettin",https://wiki.guildwars.com/images/f/fe/Nicholas_the_Traveler_Silverwood_map.jpg
Toison de Modniir,Modniir Mane,3,10/10/2022,"Tu peux en avoir en tuant des Modniir dans les Cimefroides Lointaines (Frontière de Bjora,Moraine de Jaga, Lac de Drakkar..)",https://wiki.guildwars.com/images/0/0c/Nicholas_the_Traveler_Varajar_Fells_map.jpg
Toison des Cimefroides,Shiverpeak Mane,3,14/11/2022,"Tu peux en avoir en tuant des Arc Long des Cimefroides, des Protecteur des Cimefroides, dans le Bassin de Deldrimor",https://wiki.guildwars.com/images/d/db/Nicholas_the_Traveler_Deldrimor_Bowl_map.jpg
Trophée de Mursaat,Mursaat Token,3,19/12/2022,Tu peux en avoir en tuant des Mursaats dans la Bouche d'Abbadon,https://wiki.guildwars.com/images/0/08/Nicholas_the_Traveler_Ice_Floe_map.jpg
Truffe,Truffle,1,13/03/2023,Tu peux en avoir en tuant des Bauge fongique dans l'Espoir de Melandru,https://wiki.guildwars.com/images/3/3d/Nicholas_the_Traveler_Morostav_Trail_map.jpg
Tégument de Naga,Naga Hide,3,31/07/2023,Tu peux en avoir en tuant des Naga dans la Péninsulte de Panjiang et dans la Vallée de Sunqua,https://wiki.guildwars.com/images/b/b9/Nicholas_the_Traveler_Panjiang_Peninsula_map.jpg
Œil antique,Ancient Eye,2,02/05/2022,Tu peux les avoir dans le Lagon de Mamnoun ou dans les Saugeterres en tuant des Marcheurs de Vent,https://wiki.guildwars.com/images/5/58/Nicholas_the_Traveler_Sage_Lands_map.jpg
Œil tourmenté,Stormy Eye,1,14/08/2023,Tu peux en avoir en tuant des Marcheurs de Tempête dans les Plaines Grêlées,https://wiki.guildwars.com/images/f/fd/Nicholas_the_Traveler_Pockmark_Flats_map.jpg
